bn:00000657n,word sense,y,
bn:00000777n,collection,n,
bn:00000937n,recognition,n,
bn:00001000n,acquirer,n,
bn:00001005n,acquisition,n,
bn:00001007n,acquisition,n,
bn:00001007n,learning,n,
bn:00001267n,adaptation,n,
bn:00001304n,speech,n,
bn:00001575n,explorer,n,
bn:00002154n,aid,n,
bn:00002155n,aid,n,
bn:00002178n,purpose,n,
bn:00002705n,algorithm,n,
bn:00002705n,algorithms,n,
bn:00003792n,analyser,n,
bn:00003792n,analyzer,n,
bn:00003792n,analyzers,n,
bn:00003793n,analysis,n,
bn:00004328n,normalization,y,
bn:00004349n,annotation,y,
bn:00004349n,annotations,y,
bn:00004350n,annotation,n,
bn:00004452n,resolution,n,
bn:00004905n,apis,y,toolService
bn:00005095n,application,n,
bn:00005095n,applications,n,
bn:00005121n,estimation,n,
bn:00005146n,approaches,n,
bn:00005441n,architecture,n,
bn:00005863n,system,n,
bn:00006539n,associations,n,
bn:00006555n,classification,n,
bn:00007291n,authoring tool,y,toolService
bn:00007432n,van,n,
bn:00007436n,avatar,n,
bn:00007783n,background knowledge,y,
bn:00008794n,infrastructure,n,
bn:00009635n,source,n,
bn:00009853n,workbench,y,
bn:00010217n,book,n,
bn:00010387n,bilingual lexicons,y,lexicalConceptualResource
bn:00012055n,chicago,n,
bn:00013719n,builder,n,
bn:00013723n,building,n,
bn:00014791n,call,n,
bn:00015656n,execution,n,
bn:00016287n,implementation,n,
bn:00016401n,example,n,
bn:00016733n,categories,n,
bn:00016733n,category,n,
bn:00017761n,features,n,
bn:00019583n,classifier,n,
bn:00019680n,segmentation,y,
bn:00020354n,code,n,
bn:00020376n,coefficients,n,
bn:00020407n,generation,n,
bn:00020414n,java,n,
bn:00020452n,knowledge,n,
bn:00020471n,coherence,n,
bn:00020932n,merging,n,
bn:00020948n,query language,y,
bn:00021343n,compiler,y,
bn:00021398n,composition,n,
bn:00021408n,composition,n,
bn:00021497n,package,n,
bn:00021497n,software package,n,
bn:00021497n,software,n,
bn:00021547n,concept,n,
bn:00022007n,integration,n,
bn:00022071n,structure,n,
bn:00022366n,conversion,n,
bn:00022367n,converter,n,
bn:00022637n,coreference,y,
bn:00022825n,corpora,n,corpus
bn:00022825n,corpus,n,corpus
bn:00022826n,corpus,n,corpus
bn:00022827n,corpus,n,corpus
bn:00023290n,course,n,
bn:00023660n,creator,n,
bn:00023662n,tool,n,
bn:00023853n,standards,n,
bn:00024712n,internet,n,
bn:00024746n,encyclopedia,y,lexicalConceptualResource
bn:00025314n,data,n,
bn:00025321n,format,n,
bn:00025321n,formats,n,
bn:00025325n,data mining,y,
bn:00025327n,data,n,
bn:00025330n,structure,n,
bn:00025333n,database,y,
bn:00025569n,relations,n,
bn:00025711n,decoder,y,
bn:00025735n,resolution,n,
bn:00025751n,decoder,y,
bn:00026351n,dependency,n,
bn:00026379n,repository,y,
bn:00026501n,description,n,
bn:00026638n,detection,n,
bn:00026698n,development,n,
bn:00026834n,spoken dialogue,y,
bn:00026967n,dictionary,y,lexicalConceptualResource
bn:00026967n,lexicon,y,lexicalConceptualResource
bn:00027355n,management,n,
bn:00027425n,disambiguator,y,toolService
bn:00027521n,discourse,y,
bn:00028018n,document,n,
bn:00028018n,text file,n,
bn:00028142n,knowledge base,y,
bn:00029774n,editor,n,
bn:00030686n,spell,n,
bn:00030696n,code,n,
bn:00030850n,engine,n,
bn:00030856n,engineering,n,
bn:00030862n,english,n,
bn:00030922n,expansion,n,
bn:00030951n,query,n,
bn:00030951n,question,n,
bn:00031027n,entity,n,
bn:00031060n,information,n,
bn:00031062n,entry,n,
bn:00031074n,environment,n,
bn:00031972n,evaluation,y,
bn:00031972n,evaluations,y,
bn:00031973n,evaluation,y,
bn:00032099n,examples,n,
bn:00032111n,mining,n,
bn:00032251n,extraction,n,
bn:00032337n,users,n,
bn:00032338n,exploration,n,
bn:00032470n,extraction,n,
bn:00032472n,extractor,n,
bn:00032684n,module,n,
bn:00034265n,field,n,
bn:00034547n,finder,n,
bn:00035855n,front end,n,
bn:00035918n,part-of-speech,y,
bn:00036197n,framework,n,
bn:00036197n,model,n,
bn:00037684n,generator,n,
bn:00041302n,grammar,y,
bn:00041411n,pipeline,n,
bn:00041412n,graph,n,
bn:00041777n,grid,n,
bn:00041853n,training,n,
bn:00042116n,guidelines,y,
bn:00042821n,handling,n,
bn:00043267n,question,n,
bn:00044576n,humans,n,
bn:00044916n,service,y,
bn:00045156n,language technology,y,
bn:00045156n,natural language processing,n,
bn:00045156n,nlp,n,
bn:00045243n,search,n,
bn:00045772n,image,n,
bn:00045819n,identification,y,
bn:00045822n,identifier,n,
bn:00045936n,inference,y,
bn:00045970n,image,n,
bn:00046425n,indexation,n,
bn:00046705n,information,n,
bn:00046727n,infrastructure,n,
bn:00046973n,instrumental music,y,
bn:00047028n,news,n,
bn:00047052n,interaction,n,
bn:00047087n,interface,n,
bn:00047114n,translation,y,
bn:00047140n,representation,n,
bn:00047172n,web site,n,
bn:00047172n,website,n,
bn:00047644n,isolation,n,
bn:00048043n,java,n,
bn:00048242n,problems,n,
bn:00048496n,judgments,n,
bn:00048655n,legal,n,
bn:00049573n,task,n,
bn:00049910n,language,n,
bn:00049911n,language,n,
bn:00049911n,speech,y,
bn:00049915n,terminology,y,lexicalConceptualResource
bn:00049918n,acquisition,n,
bn:00049918n,language learning,y,
bn:00050906n,lexical,y,lexicalConceptualResource
bn:00050906n,lexicon,y,lexicalConceptualResource
bn:00050968n,library,n,
bn:00050969n,library,y,
bn:00050969n,toolkit,y,toolService
bn:00051045n,life,n,
bn:00051395n,linguistic,n,
bn:00051508n,list,n,
bn:00051508n,listings,n,
bn:00051830n,log,n,
bn:00052076n,speaker,n,
bn:00052570n,machine translation system,y,
bn:00052570n,machine translation,y,
bn:00052570n,machine translator,y,
bn:00052570n,mt,y,
bn:00052570n,translation software,y,
bn:00053279n,manual,n,
bn:00053801n,material,n,
bn:00053803n,materials,n,
bn:00054390n,mention,n,
bn:00054390n,reference,n,
bn:00054548n,metadata,y,
bn:00054634n,methodology,n,
bn:00054909n,migration,n,
bn:00055453n,modeling,n,
bn:00055923n,morphology,n,
bn:00056283n,multimedia,n,
bn:00056990n,language,n,
bn:00056990n,natural language,n,
bn:00057017n,environment,n,
bn:00057073n,navigation,n,
bn:00057850n,node,n,
bn:00058145n,notes,n,
bn:00059033n,ontology,y,lexicalConceptualResource
bn:00059034n,ontology,y,lexicalConceptualResource
bn:00059223n,optimization,y,
bn:00060556n,paragraph,n,
bn:00060604n,paraphrase,n,
bn:00060604n,paraphraser,y,
bn:00060753n,parser,y,
bn:00060753n,parsing,n,
bn:00060771n,pos tagger,y,toolService
bn:00061054n,practice,n,
bn:00061333n,preferences,n,
bn:00061560n,performance,n,
bn:00062020n,phone,n,
bn:00062032n,phoneme,n,
bn:00062115n,phrase,n,
bn:00062898n,platform,y,
bn:00062900n,platform,n,
bn:00063213n,point,n,
bn:00063595n,population,n,
bn:00063658n,portal,n,
bn:00064114n,predictor,n,
bn:00064392n,priming,n,
bn:00064421n,wordnet,y,lexicalConceptualResource
bn:00064545n,processing,n,
bn:00064625n,proficiency,n,
bn:00065673n,searcher,n,
bn:00065899n,radio,n,
bn:00065988n,alignment,y,
bn:00066249n,reasoner,n,
bn:00066380n,learning software,y,
bn:00066587n,recording,n,
bn:00066587n,recordings,n,
bn:00066865n,respect,n,
bn:00066995n,relation,n,
bn:00067280n,research,n,
bn:00067352n,resource,n,
bn:00067352n,resources,n,
bn:00067474n,retrieval,n,
bn:00069580n,system,n,
bn:00069638n,text book,n,
bn:00070037n,search,n,
bn:00070404n,semantic,y,
bn:00070404n,semantics,y,
bn:00070528n,sentence,n,
bn:00070532n,sentiment,y,
bn:00070651n,service,y,toolService
bn:00070651n,services,y,toolService
bn:00070672n,utility,n,
bn:00070677n,services,n,
bn:00070698n,set,n,
bn:00071282n,snapshots,n,
bn:00071525n,signal,n,
bn:00071670n,similarity,n,
bn:00072892n,sound,y,
bn:00073170n,speaker,n,
bn:00073184n,specifications,n,
bn:00073275n,spell checker,y,toolService
bn:00073508n,splitter,y,toolService
bn:00073635n,stemmer,y,toolService
bn:00074057n,statistic,n,
bn:00074061n,statistical,n,
bn:00075108n,suite,n,
bn:00075109n,suite,n,
bn:00075149n,summarization,y,
bn:00075330n,support,n,
bn:00075333n,support,n,
bn:00075373n,surface,n,
bn:00075644n,syllable,n,
bn:00075728n,thesaurus,y,lexicalConceptualResource
bn:00075739n,grammar checker,y,toolService
bn:00075744n,synthesizer,n,
bn:00075745n,synthesis,n,
bn:00075759n,system,n,
bn:00075762n,system,n,
bn:00075891n,tagger,y,toolService
bn:00076587n,term,n,
bn:00076590n,term,n,
bn:00076732n,text,n,corpus
bn:00076736n,text editor,y,
bn:00077585n,tool,n,
bn:00077585n,tools,y,toolService
bn:00077958n,transcriber,y,toolService
bn:00077963n,transcription,y,
bn:00077966n,transducer,n,
bn:00078018n,transliteration,n,
bn:00079778n,verbs,y,
bn:00080130n,visualization,y,
bn:00080772n,web,n,
bn:00081546n,word,n,
bn:00081546n,words,n,
bn:00081578n,workflow management,y,
bn:00081800n,yahoo,n,
bn:00081801n,yahoo!,n,
bn:00082208v,accessing,n,
bn:00082481v,assist,n,
bn:00082635v,annotated,n,
bn:00082868v,associated,n,
bn:00083141v,based,n,
bn:00083184v,existing,n,
bn:00084080v,generated,n,
bn:00084198v,constructing,n,
bn:00085206v,clustering,n,
bn:00085499v,contains,n,
bn:00085682v,reconstructing,n,
bn:00085890v,coupled,n,
bn:00087051v,extracted,n,
bn:00087484v,editing,n,
bn:00087946v,face,n,
bn:00088643v,providing,n,
bn:00090150v,labeling,n,
bn:00090151v,tagged,n,
bn:00090224v,set,n,
bn:00090442v,logging,n,
bn:00090460v,searching,n,
bn:00090642v,map,n,
bn:00090643v,mapping,n,
bn:00090876v,modelling,n,
bn:00090943v,speaking,n,
bn:00091428v,paraphrasing,y,
bn:00092261v,querying,n,
bn:00092532v,restructure,n,
bn:00093317v,scanned,n,
bn:00095078v,transcribing,n,
bn:00096347a,acoustic,n,
bn:00097611a,assigned,n,
bn:00097800a,classic,n,
bn:00097823a,automatic,n,
bn:00099838a,clinical,n,
bn:00100409a,controlled,n,
bn:00101616a,distributional,n,
bn:00101899a,duplicate,n,
bn:00101940a,early,n,
bn:00102202a,encyclopedic,n,
bn:00103324a,frequent,n,
bn:00103507a,general,n,
bn:00103722a,grammatical,n,
bn:00104221a,historic,n,
bn:00105901a,lexical,n,
bn:00106019a,linguistic,n,
bn:00106108a,local,n,
bn:00106371a,synthetic,n,
bn:00106842a,modular,n,
bn:00106943a,morphological,n,
bn:00107021a,multilingual,n,
bn:00107874a,ontological,n,
bn:00107883a,open,n,
bn:00107992a,orthographic,n,
bn:00108246a,parallel,n,
bn:00108881a,virtual,n,
bn:00108932a,predictive,n,
bn:00109130a,prosodic,n,
bn:00109194a,psycholinguistic,n,
bn:00109659a,relevant,n,
bn:00109816a,rhetorical,n,
bn:00109833a,rich,n,
bn:00110347a,semantic,n,
bn:00111167a,statistical,n,
bn:00111596a,syntactic,n,
bn:00111712a,temporal,n,
bn:00111754a,terminological,n,
bn:00112146a,true,n,
bn:00113295a,unsupervised,n,
bn:00114451r,automatically,n,
bn:00116935r,semantically,n,
bn:00136326n,model,n,
bn:00140961n,semantic desktop,y,
bn:00164048n,resources management,n,
bn:00171232n,similarities,n,
bn:00171232n,similarity,n,
bn:00205701n,testing tool,n,
bn:00212740n,finite state,n,
bn:00259939n,analysis,n,
bn:00267794n,independent,n,
bn:00279184n,data collection,y,
bn:00389055n,pipeline,n,
bn:00453702n,anaphora resolution,y,
bn:00570351n,wikipedia,n,
bn:00683882n,semantic relatedness,y,
bn:00683882n,semantic similarities,y,
bn:00744700n,information retrieval system,y,
bn:00744700n,information retrieval,y,
bn:00763087n,eye tracker,n,
bn:00899454n,natural language toolkit,y,toolService
bn:00930250n,resource,n,
bn:00931937n,knowledge representation,y,
bn:00937984n,development,n,
bn:00946287n,game engine,n,
bn:00972833n,language processing,y,
bn:00978432n,language engineering,y,
bn:00986924n,recognition,n,
bn:00987447n,knowledge acquisition,y,
bn:01042120n,formal grammar,y,
bn:01074720n,demo,n,
bn:01156701n,digital library,y,
bn:01157392n,open source,n,
bn:01184015n,language model,y,
bn:01184015n,language modeling,y,
bn:01184015n,language modelling,y,
bn:01184015n,language models,y,
bn:01205362n,info:,n,
bn:01236149n,statistical relational learning,y,
bn:01274300n,vector,n,
bn:01283894n,library management system,n,
bn:01391386n,framenet,y,lexicalConceptualResource
bn:01510781n,management system,n,
bn:01551632n,chain,n,
bn:01647033n,machine learning,y,
bn:01832141n,online encyclopedia,y,lexicalConceptualResource
bn:02081302n,data analysis,y,
bn:02119280n,signal,n,
bn:02130401n,api,n,
bn:02275757n,semantic network,y,
bn:02309436n,automatic speech recognition,y,
bn:02447924n,opennlp,n,
bn:02448439n,tool,y,toolService
bn:02450977n,knowledge discovery,y,
bn:02526676n,generator,n,
bn:02570377n,ontology editor,y,
bn:02579396n,model,n,
bn:02625608n,textual entailment,y,
bn:02627321n,activities,n,
bn:02652488n,repository,n,
bn:02817362n,database schema,y,
bn:02847697n,environment,y,
bn:02907457n,a collection,n,
bn:02914517n,learning,n,
bn:03015604n,event,n,
bn:03029246n,customization,y,
bn:03072994n,development tool,n,
bn:03072994n,tool,y,toolService
bn:03072994n,tools,n,
bn:03100035n,weka,n,
bn:03103884n,childes,y,
bn:03111439n,java interface,n,
bn:03135597n,search engine,y,
bn:03145314n,conditional random fields,y,
bn:03154717n,cross,n,
bn:03171231n,speech segmentation,y,
bn:03171435n,text segmentation,y,
bn:03172404n,speech synthesis,y,
bn:03172404n,speech synthesiser,y,
bn:03172404n,text-to-speech synthesizer,y,
bn:03172404n,text-to-speech,y,
bn:03217333n,statistical machine translation,y,
bn:03217369n,word alignment,y,
bn:03287978n,compilation,n,
bn:03288118n,wikipedia,n,
bn:03325612n,statistical signal processing,y,
bn:03370016n,controlled language,y,
bn:03431217n,corpora,n,corpus
bn:03431217n,corpus,n,corpus
bn:03464447n,evaluation,n,
bn:03481372n,document summarization,y,
bn:03488992n,terminology management,y,
bn:03499081n,support vector machine,y,
bn:03631223n,content management system,y,
bn:03632399n,legal language,n,
bn:03647584n,query,n,
bn:03655374n,text simplification,y,
bn:03681718n,dependency,n,
bn:03692686n,lexical analysis,y,
bn:03719785n,game world,n,
bn:03825388n,extractor,n,
bn:03829842n,web service,y,toolService
bn:03884071n,n-gram,y,
